network,method,k,p,time_step,mean_newly_active,median_newly_active,q1_newly_active,q3_newly_active
Facebook Penn94,highest_degree,10,0.1,13,3.27,2.0,1.0,5.0
Facebook Penn94,highest_degree,10,0.1,14,3.269,2.0,1.0,5.0
Facebook Penn94,distance_greedy,2,0.1,0,2.0,2.0,2.0,2.0
Facebook Penn94,distance_greedy,2,0.1,1,682.355,682.0,666.0,698.0
Facebook Penn94,distance_greedy,2,0.1,2,6202.834,6198.0,6016.75,6370.0
Facebook Penn94,distance_greedy,2,0.1,3,19115.397,19124.0,19032.0,19199.0
Facebook Penn94,distance_greedy,2,0.1,4,8594.141,8602.0,8405.5,8786.25
Facebook Penn94,distance_greedy,2,0.1,5,1305.826,1305.0,1254.0,1354.0
Facebook Penn94,distance_greedy,2,0.1,6,153.016,152.0,142.0,163.0
Facebook Penn94,distance_greedy,2,0.1,7,19.183,19.0,16.0,22.0
Facebook Penn94,distance_greedy,2,0.1,8,4.321,3.0,2.0,5.0
Facebook Penn94,distance_greedy,2,0.1,9,3.413,2.0,1.0,3.0
Facebook Penn94,distance_greedy,2,0.1,10,3.329,2.0,1.0,3.0
Facebook Penn94,distance_greedy,2,0.1,11,3.324,2.0,1.0,3.0
Facebook Penn94,distance_greedy,2,0.1,12,3.318,2.0,1.0,3.0
Facebook Penn94,distance_greedy,2,0.1,13,3.32,2.0,1.0,3.0
Facebook Penn94,distance_greedy,2,0.1,14,3.315,2.0,1.0,3.0
Facebook Penn94,distance_greedy,2,0.1,15,3.316,2.0,1.0,3.0
Facebook Penn94,distance_greedy,2,0.1,16,3.315,2.0,1.0,3.0
Facebook Penn94,distance_greedy,4,0.1,0,4.0,4.0,4.0,4.0
Facebook Penn94,distance_greedy,4,0.1,1,966.267,966.0,946.0,986.0
Facebook Penn94,distance_greedy,4,0.1,2,8368.348,8365.0,8170.75,8549.25
Facebook Penn94,distance_greedy,4,0.1,3,18826.072,18827.0,18752.0,18898.0
Facebook Penn94,distance_greedy,4,0.1,4,6793.187,6798.0,6639.75,6942.0
Facebook Penn94,distance_greedy,4,0.1,5,983.245,982.5,948.0,1019.0
Facebook Penn94,distance_greedy,4,0.1,6,115.613,115.0,107.0,124.0
Facebook Penn94,distance_greedy,4,0.1,7,14.647,14.0,12.0,17.0
Facebook Penn94,distance_greedy,4,0.1,8,4.185,3.0,2.0,5.0
Facebook Penn94,distance_greedy,4,0.1,9,3.611,2.0,1.0,3.25
Facebook Penn94,distance_greedy,4,0.1,10,3.566,2.0,1.0,3.0
Facebook Penn94,distance_greedy,4,0.1,11,3.555,2.0,1.0,3.0
Facebook Penn94,distance_greedy,4,0.1,12,3.556,2.0,1.0,3.0
Facebook Penn94,distance_greedy,4,0.1,13,3.552,2.0,1.0,3.0
Facebook Penn94,distance_greedy,4,0.1,14,3.552,2.0,1.0,3.0
Facebook Penn94,distance_greedy,4,0.1,15,3.552,2.0,1.0,3.0
Facebook Penn94,distance_greedy,4,0.1,16,3.551,2.0,1.0,3.0
Facebook Penn94,distance_greedy,4,0.1,17,3.552,2.0,1.0,3.0
Facebook Penn94,distance_greedy,10,0.1,0,10.0,10.0,10.0,10.0
Facebook Penn94,distance_greedy,10,0.1,1,1327.063,1326.0,1304.0,1349.0
Facebook Penn94,distance_greedy,10,0.1,2,10448.129,10444.5,10276.0,10628.25
Facebook Penn94,distance_greedy,10,0.1,3,17961.924,17961.0,17861.75,18063.0
Facebook Penn94,distance_greedy,10,0.1,4,5473.686,5468.0,5363.0,5584.25
Facebook Penn94,distance_greedy,10,0.1,5,753.541,752.0,725.75,781.0
Facebook Penn94,distance_greedy,10,0.1,6,89.02,88.0,82.0,96.0
Facebook Penn94,distance_greedy,10,0.1,7,11.536,11.0,9.0,14.0
Facebook Penn94,distance_greedy,10,0.1,8,3.735,2.0,1.0,5.0
Facebook Penn94,distance_greedy,10,0.1,9,3.355,2.0,1.0,4.0
Facebook Penn94,distance_greedy,10,0.1,10,3.324,2.0,1.0,4.0
Facebook Penn94,distance_greedy,10,0.1,11,3.318,2.0,1.0,4.0
Facebook Penn94,distance_greedy,10,0.1,12,3.319,2.0,1.0,4.0
Facebook Penn94,distance_greedy,10,0.1,13,3.316,2.0,1.0,4.0
Facebook Penn94,distance_greedy,10,0.1,14,3.316,2.0,1.0,4.0
