network,method,k,p,time_step,mean_active,median_active,q1_active,q3_active
Facebook Penn94,highest_degree,10,0.1,3,32139.525,32133.0,32065.0,32213.0
Facebook Penn94,highest_degree,10,0.1,4,35588.998,35589.0,35553.0,35624.0
Facebook Penn94,highest_degree,10,0.1,5,36017.788,36017.0,35983.0,36051.0
Facebook Penn94,highest_degree,10,0.1,6,36069.154,36068.0,36034.0,36102.0
Facebook Penn94,highest_degree,10,0.1,7,36076.255,36076.0,36040.0,36109.0
Facebook Penn94,highest_degree,10,0.1,8,36077.496,36077.0,36042.0,36109.25
Facebook Penn94,highest_degree,10,0.1,9,36077.759,36077.0,36043.0,36110.0
Facebook Penn94,highest_degree,10,0.1,10,36077.823,36077.0,36043.0,36110.0
Facebook Penn94,highest_degree,10,0.1,11,36077.841,36077.0,36043.0,36110.0
Facebook Penn94,highest_degree,10,0.1,12,36077.851,36077.0,36043.0,36110.0
Facebook Penn94,highest_degree,10,0.1,13,36077.855,36077.0,36043.0,36110.0
Facebook Penn94,highest_degree,10,0.1,14,36077.856,36077.0,36043.0,36110.0
Facebook Penn94,distance_greedy,2,0.1,0,2.0,2.0,2.0,2.0
Facebook Penn94,distance_greedy,2,0.1,1,684.355,684.0,668.0,700.0
Facebook Penn94,distance_greedy,2,0.1,2,6887.189,6887.0,6685.75,7068.0
Facebook Penn94,distance_greedy,2,0.1,3,26002.586,26001.5,25764.5,26232.25
Facebook Penn94,distance_greedy,2,0.1,4,34596.727,34601.5,34538.0,34661.25
Facebook Penn94,distance_greedy,2,0.1,5,35902.553,35902.0,35866.0,35940.0
Facebook Penn94,distance_greedy,2,0.1,6,36055.569,36056.0,36021.0,36090.25
Facebook Penn94,distance_greedy,2,0.1,7,36074.752,36076.0,36040.0,36109.0
Facebook Penn94,distance_greedy,2,0.1,8,36077.613,36079.0,36043.0,36112.25
Facebook Penn94,distance_greedy,2,0.1,9,36078.204,36079.0,36044.0,36114.0
Facebook Penn94,distance_greedy,2,0.1,10,36078.351,36079.0,36044.0,36114.0
Facebook Penn94,distance_greedy,2,0.1,11,36078.396,36079.0,36044.0,36114.0
Facebook Penn94,distance_greedy,2,0.1,12,36078.409,36079.0,36044.0,36114.0
Facebook Penn94,distance_greedy,2,0.1,13,36078.419,36079.0,36044.0,36114.0
Facebook Penn94,distance_greedy,2,0.1,14,36078.423,36079.0,36044.0,36114.0
Facebook Penn94,distance_greedy,2,0.1,15,36078.425,36079.0,36044.0,36114.0
Facebook Penn94,distance_greedy,2,0.1,16,36078.426,36079.0,36044.0,36114.0
Facebook Penn94,distance_greedy,4,0.1,0,4.0,4.0,4.0,4.0
Facebook Penn94,distance_greedy,4,0.1,1,970.267,970.0,950.0,990.0
Facebook Penn94,distance_greedy,4,0.1,2,9338.615,9338.0,9133.75,9530.0
Facebook Penn94,distance_greedy,4,0.1,3,28164.687,28164.5,27994.5,28352.25
Facebook Penn94,distance_greedy,4,0.1,4,34957.874,34959.0,34907.75,35009.0
Facebook Penn94,distance_greedy,4,0.1,5,35941.119,35938.0,35902.0,35981.0
Facebook Penn94,distance_greedy,4,0.1,6,36056.732,36055.0,36018.0,36095.0
Facebook Penn94,distance_greedy,4,0.1,7,36071.379,36070.0,36032.0,36110.0
Facebook Penn94,distance_greedy,4,0.1,8,36073.576,36072.5,36035.0,36111.0
Facebook Penn94,distance_greedy,4,0.1,9,36074.034,36073.0,36035.75,36112.0
Facebook Penn94,distance_greedy,4,0.1,10,36074.156,36073.0,36036.0,36112.25
Facebook Penn94,distance_greedy,4,0.1,11,36074.197,36073.0,36036.0,36112.25
Facebook Penn94,distance_greedy,4,0.1,12,36074.206,36073.0,36036.0,36112.25
Facebook Penn94,distance_greedy,4,0.1,13,36074.209,36073.0,36036.0,36112.25
Facebook Penn94,distance_greedy,4,0.1,14,36074.211,36073.0,36036.0,36112.25
Facebook Penn94,distance_greedy,4,0.1,15,36074.213,36073.0,36036.0,36112.25
Facebook Penn94,distance_greedy,4,0.1,16,36074.214,36073.0,36036.0,36112.25
Facebook Penn94,distance_greedy,4,0.1,17,36074.216,36073.0,36036.0,36112.25
Facebook Penn94,distance_greedy,10,0.1,0,10.0,10.0,10.0,10.0
Facebook Penn94,distance_greedy,10,0.1,1,1337.063,1336.0,1314.0,1359.0
Facebook Penn94,distance_greedy,10,0.1,2,11785.192,11781.5,11591.75,11979.25
Facebook Penn94,distance_greedy,10,0.1,3,29747.116,29752.0,29611.75,29879.0
Facebook Penn94,distance_greedy,10,0.1,4,35220.802,35220.0,35176.75,35264.0
Facebook Penn94,distance_greedy,10,0.1,5,35974.343,35975.0,35936.0,36012.0
Facebook Penn94,distance_greedy,10,0.1,6,36063.363,36065.5,36025.0,36102.0
Facebook Penn94,distance_greedy,10,0.1,7,36074.899,36076.0,36036.0,36114.0
Facebook Penn94,distance_greedy,10,0.1,8,36076.751,36077.5,36039.0,36116.0
Facebook Penn94,distance_greedy,10,0.1,9,36077.096,36078.5,36039.0,36116.0
Facebook Penn94,distance_greedy,10,0.1,10,36077.179,36078.5,36039.0,36116.0
Facebook Penn94,distance_greedy,10,0.1,11,36077.204,36078.5,36039.75,36116.0
Facebook Penn94,distance_greedy,10,0.1,12,36077.216,36078.5,36039.75,36116.0
Facebook Penn94,distance_greedy,10,0.1,13,36077.221,36078.5,36039.75,36116.0
Facebook Penn94,distance_greedy,10,0.1,14,36077.222,36078.5,36039.75,36116.0
