nodeID,nodeLabel,degree_lunch,degree_facebook,degree_coauthor,degree_leisure,degree_work,degree_deviation,neighborhood_lunch,neighborhood_facebook,neighborhood_coauthor,neighborhood_leisure,neighborhood_work,neighborhood_all_layers,degree_all_layers,connective_redundancy,exclusive_neighborhood_lunch,exclusive_neighborhood_facebook,exclusive_neighborhood_coauthor,exclusive_neighborhood_leisure,exclusive_neighborhood_work
23,U91,7,14,3,14,8,4.764451699828638,7,14,3,14,8,22,46,0.5217391304347826,0,7,0,4,0
24,U109,12,6,0,4,3,4.47213595499958,12,6,0,4,3,13,25,0.48,3,0,0,0,1
25,U126,15,0,0,9,3,6.5038450166036395,15,0,0,9,3,17,27,0.37037037037037035,7,0,0,1,1
26,U130,6,12,5,0,16,6.260990336999411,6,12,5,0,16,21,39,0.46153846153846156,2,3,0,0,6
27,U134,12,2,1,0,3,4.8270073544588685,12,2,1,0,3,13,18,0.2777777777777778,9,1,0,0,0
28,U18,8,8,2,4,3,2.8284271247461903,8,8,2,4,3,12,25,0.52,1,1,0,0,1
29,U3,7,7,0,2,2,3.2093613071762426,7,7,0,2,2,11,18,0.38888888888888884,2,3,0,0,1
30,U47,5,11,2,1,4,3.9115214431215892,5,11,2,1,4,14,23,0.3913043478260869,1,5,0,0,1
31,U54,9,10,0,8,8,4.0,9,10,0,8,8,19,35,0.4571428571428572,2,3,0,1,4
32,U62,8,0,0,2,6,3.63318042491699,8,0,0,2,6,11,16,0.3125,5,0,0,0,3
33,U76,9,10,2,7,4,3.361547262794322,9,10,2,7,4,15,32,0.53125,2,2,0,0,1
34,U79,13,15,0,7,9,5.848076606885378,13,15,0,7,9,24,44,0.4545454545454546,3,4,0,1,2
35,U90,10,0,0,8,5,4.560701700396551,10,0,0,8,5,14,23,0.3913043478260869,3,0,0,1,3
36,U99,7,0,2,3,6,2.8809720581775866,7,0,2,3,6,10,18,0.4444444444444444,2,0,0,0,2
37,U10,3,5,1,6,7,2.4083189157584592,3,5,1,6,7,13,22,0.40909090909090906,0,2,0,2,3
38,U13,3,0,1,1,4,1.6431676725154984,3,0,1,1,4,7,9,0.2222222222222222,2,0,0,1,2
39,U142,2,11,1,4,3,3.96232255123179,2,11,1,4,3,14,21,0.33333333333333337,1,7,0,1,0
40,U14,8,0,0,5,9,4.277849927241488,8,0,0,5,9,10,22,0.5454545454545454,1,0,0,0,2
41,U19,5,0,0,3,8,3.420526275297414,5,0,0,3,8,8,16,0.5,0,0,0,0,3
42,U23,5,0,0,5,6,2.949576240750525,5,0,0,5,6,6,16,0.625,0,0,0,0,1
43,U37,6,0,0,2,1,2.489979919597747,6,0,0,2,1,8,9,0.11111111111111116,5,0,0,2,0
44,U4,15,12,0,1,21,9.093954035511725,15,12,0,1,21,26,49,0.4693877551020408,0,5,0,0,4
45,U73,6,0,0,7,7,3.6742346141747673,6,0,0,7,7,8,20,0.6,0,0,0,1,0
46,U110,7,9,4,7,14,3.7013511046643495,7,9,4,7,14,19,41,0.5365853658536586,1,2,1,1,3
47,U113,5,6,0,4,4,2.2803508501982757,5,6,0,4,4,9,19,0.5263157894736843,2,2,0,0,0
48,U138,3,0,1,4,4,1.8165902124584952,3,0,1,4,4,6,12,0.5,1,0,0,0,1
49,U53,5,0,3,1,2,1.9235384061671346,5,0,3,1,2,5,11,0.5454545454545454,2,0,0,0,0
50,U65,5,4,0,6,3,2.3021728866442674,5,4,0,6,3,9,18,0.5,1,1,0,1,0
51,U67,12,13,0,2,20,8.29457654133109,12,13,0,2,20,23,47,0.5106382978723405,0,3,0,0,5
52,U72,10,0,2,4,4,3.7416573867739413,10,0,2,4,4,10,20,0.5,3,0,0,0,0
53,U112,3,2,0,0,2,1.3416407864998738,3,2,0,0,2,5,7,0.2857142857142857,1,2,0,0,0
54,U48,6,0,1,0,3,2.5495097567963922,6,0,1,0,3,8,10,0.19999999999999996,5,0,0,0,1
55,U68,5,0,1,2,4,2.073644135332772,5,0,1,2,4,6,12,0.5,2,0,0,0,0
56,U69,6,6,0,2,3,2.6076809620810595,6,6,0,2,3,11,17,0.3529411764705882,3,2,0,0,1
57,U63,6,0,0,0,5,3.03315017762062,6,0,0,0,5,6,11,0.4545454545454546,1,0,0,0,0
58,U6,6,4,0,1,2,2.408318915758459,6,4,0,1,2,9,13,0.3076923076923077,3,1,0,0,1
59,U92,5,0,0,0,2,2.1908902300206643,5,0,0,0,2,6,7,0.1428571428571429,4,0,0,0,1
60,U140,0,0,0,0,2,0.894427190999916,0,0,0,0,2,2,2,0.0,0,0,0,0,2
61,U141,4,0,0,1,2,1.6733200530681511,4,0,0,1,2,4,7,0.4285714285714286,2,0,0,0,0
