network,method,k,p,time_step,mean_newly_active,median_newly_active,q1_newly_active,q3_newly_active
Facebook Penn94,highest_degree,4,0.05,8,39.838,40.0,35.0,45.0
Facebook Penn94,highest_degree,4,0.05,9,8.544,8.0,6.0,11.0
Facebook Penn94,highest_degree,4,0.05,10,3.266,2.0,1.0,4.0
Facebook Penn94,highest_degree,4,0.05,11,2.846,2.0,1.0,3.0
Facebook Penn94,highest_degree,4,0.05,12,2.814,2.0,1.0,3.0
Facebook Penn94,highest_degree,4,0.05,13,2.811,2.0,1.0,3.0
Facebook Penn94,highest_degree,4,0.05,14,2.807,2.0,1.0,3.0
Facebook Penn94,highest_degree,4,0.05,15,2.807,2.0,1.0,3.0
Facebook Penn94,highest_degree,4,0.05,16,2.809,2.0,1.0,3.0
Facebook Penn94,highest_degree,10,0.05,0,10.0,10.0,10.0,10.0
Facebook Penn94,highest_degree,10,0.05,1,1292.262,1292.0,1271.0,1314.0
Facebook Penn94,highest_degree,10,0.05,2,5656.427,5660.0,5552.0,5756.0
Facebook Penn94,highest_degree,10,0.05,3,12683.785,12686.0,12608.0,12758.25
Facebook Penn94,highest_degree,10,0.05,4,8458.802,8458.0,8353.0,8566.0
Facebook Penn94,highest_degree,10,0.05,5,2494.751,2493.5,2432.0,2556.0
Facebook Penn94,highest_degree,10,0.05,6,546.15,545.0,523.0,568.0
Facebook Penn94,highest_degree,10,0.05,7,112.63,113.0,104.0,121.25
Facebook Penn94,highest_degree,10,0.05,8,23.545,23.0,20.0,27.0
Facebook Penn94,highest_degree,10,0.05,9,5.27,5.0,3.0,7.0
Facebook Penn94,highest_degree,10,0.05,10,2.93,2.0,1.0,4.0
Facebook Penn94,highest_degree,10,0.05,11,2.751,2.0,1.0,3.0
Facebook Penn94,highest_degree,10,0.05,12,2.735,2.0,1.0,3.0
Facebook Penn94,highest_degree,10,0.05,13,2.736,2.0,1.0,3.0
Facebook Penn94,distance_greedy,2,0.05,0,2.0,2.0,2.0,2.0
Facebook Penn94,distance_greedy,2,0.05,1,344.192,344.5,333.0,356.0
Facebook Penn94,distance_greedy,2,0.05,2,1842.642,1840.0,1746.0,1938.25
Facebook Penn94,distance_greedy,2,0.05,3,8496.358,8507.5,8267.5,8743.5
Facebook Penn94,distance_greedy,2,0.05,4,12636.349,12641.0,12544.0,12736.25
Facebook Penn94,distance_greedy,2,0.05,5,6013.094,5997.5,5820.75,6202.25
Facebook Penn94,distance_greedy,2,0.05,6,1540.531,1536.0,1471.0,1602.0
Facebook Penn94,distance_greedy,2,0.05,7,324.798,323.5,304.0,345.0
Facebook Penn94,distance_greedy,2,0.05,8,67.293,66.5,60.0,74.0
Facebook Penn94,distance_greedy,2,0.05,9,13.943,14.0,11.0,17.0
Facebook Penn94,distance_greedy,2,0.05,10,4.149,3.0,2.0,5.0
Facebook Penn94,distance_greedy,2,0.05,11,3.126,2.0,1.0,3.0
Facebook Penn94,distance_greedy,2,0.05,12,3.059,2.0,1.0,3.0
Facebook Penn94,distance_greedy,2,0.05,13,3.049,2.0,1.0,3.0
Facebook Penn94,distance_greedy,2,0.05,14,3.051,2.0,1.0,3.0
Facebook Penn94,distance_greedy,2,0.05,15,3.049,2.0,1.0,3.0
Facebook Penn94,distance_greedy,4,0.05,0,4.0,4.0,4.0,4.0
Facebook Penn94,distance_greedy,4,0.05,1,489.914,490.0,476.0,503.0
Facebook Penn94,distance_greedy,4,0.05,2,2663.262,2661.0,2560.5,2759.0
Facebook Penn94,distance_greedy,4,0.05,3,10170.68,10180.0,9989.75,10345.25
Facebook Penn94,distance_greedy,4,0.05,4,11726.706,11730.0,11603.0,11849.0
Facebook Penn94,distance_greedy,4,0.05,5,4759.165,4757.0,4622.0,4884.0
Facebook Penn94,distance_greedy,4,0.05,6,1161.979,1162.0,1112.0,1207.25
Facebook Penn94,distance_greedy,4,0.05,7,243.888,243.0,228.0,259.0
Facebook Penn94,distance_greedy,4,0.05,8,50.873,50.0,45.0,57.0
Facebook Penn94,distance_greedy,4,0.05,9,10.564,10.0,8.0,13.0
Facebook Penn94,distance_greedy,4,0.05,10,3.508,3.0,2.0,4.0
Facebook Penn94,distance_greedy,4,0.05,11,2.832,2.0,1.0,3.0
Facebook Penn94,distance_greedy,4,0.05,12,2.783,2.0,1.0,3.0
Facebook Penn94,distance_greedy,4,0.05,13,2.772,2.0,1.0,3.0
Facebook Penn94,distance_greedy,4,0.05,14,2.772,2.0,1.0,3.0
Facebook Penn94,distance_greedy,4,0.05,15,2.772,2.0,1.0,3.0
Facebook Penn94,distance_greedy,10,0.05,0,10.0,10.0,10.0,10.0
Facebook Penn94,distance_greedy,10,0.05,1,676.806,677.0,660.0,693.0
Facebook Penn94,distance_greedy,10,0.05,2,3596.606,3593.0,3471.75,3720.0
Facebook Penn94,distance_greedy,10,0.05,3,11407.676,11413.0,11274.0,11544.0
Facebook Penn94,distance_greedy,10,0.05,4,10630.614,10636.0,10488.0,10766.0
Facebook Penn94,distance_greedy,10,0.05,5,3825.431,3821.0,3720.0,3930.0
Facebook Penn94,distance_greedy,10,0.05,6,897.595,896.0,859.75,936.0
Facebook Penn94,distance_greedy,10,0.05,7,187.024,187.0,174.0,200.0
Facebook Penn94,distance_greedy,10,0.05,8,38.738,38.0,33.0,44.0
Facebook Penn94,distance_greedy,10,0.05,9,8.301,8.0,6.0,10.0
Facebook Penn94,distance_greedy,10,0.05,10,3.246,2.0,1.0,4.0
Facebook Penn94,distance_greedy,10,0.05,11,2.762,2.0,1.0,3.0
Facebook Penn94,distance_greedy,10,0.05,12,2.737,2.0,1.0,3.0
Facebook Penn94,distance_greedy,10,0.05,13,2.731,2.0,1.0,3.0
Facebook Penn94,distance_greedy,10,0.05,14,2.73,2.0,1.0,3.0
