network,method,k,p,simulation_id,final_active_count,total_steps
Facebook Penn94,highest_degree,2,0.05,107,31438,11
Facebook Penn94,highest_degree,2,0.05,108,31203,11
Facebook Penn94,highest_degree,2,0.05,109,31247,9
Facebook Penn94,highest_degree,2,0.05,110,31310,11
Facebook Penn94,highest_degree,2,0.05,111,31242,10
Facebook Penn94,highest_degree,2,0.05,112,31400,10
Facebook Penn94,highest_degree,2,0.05,113,31245,10
Facebook Penn94,highest_degree,2,0.05,114,31287,11
Facebook Penn94,highest_degree,2,0.05,115,31247,10
Facebook Penn94,highest_degree,2,0.05,116,31374,10
Facebook Penn94,highest_degree,2,0.05,117,31236,11
Facebook Penn94,highest_degree,2,0.05,118,31463,10
Facebook Penn94,highest_degree,2,0.05,119,31283,10
Facebook Penn94,highest_degree,2,0.05,120,31296,11
Facebook Penn94,highest_degree,2,0.05,121,31346,10
Facebook Penn94,highest_degree,2,0.05,122,31366,9
Facebook Penn94,highest_degree,2,0.05,123,31208,10
Facebook Penn94,highest_degree,2,0.05,124,31190,11
Facebook Penn94,highest_degree,2,0.05,125,31281,11
Facebook Penn94,highest_degree,2,0.05,126,31277,10
Facebook Penn94,highest_degree,2,0.05,127,31254,10
Facebook Penn94,highest_degree,2,0.05,128,31252,10
Facebook Penn94,highest_degree,2,0.05,129,31306,10
Facebook Penn94,highest_degree,2,0.05,130,31367,10
Facebook Penn94,highest_degree,2,0.05,131,31238,9
Facebook Penn94,highest_degree,2,0.05,132,31283,10
Facebook Penn94,highest_degree,2,0.05,133,31253,11
Facebook Penn94,highest_degree,2,0.05,134,31218,11
Facebook Penn94,highest_degree,2,0.05,135,31210,11
Facebook Penn94,highest_degree,2,0.05,136,31278,10
Facebook Penn94,highest_degree,2,0.05,137,31284,10
Facebook Penn94,highest_degree,2,0.05,138,31190,10
Facebook Penn94,highest_degree,2,0.05,139,31241,9
Facebook Penn94,highest_degree,2,0.05,140,31376,10
Facebook Penn94,highest_degree,2,0.05,141,31208,11
Facebook Penn94,highest_degree,2,0.05,142,31366,12
Facebook Penn94,highest_degree,2,0.05,143,31096,10
Facebook Penn94,highest_degree,2,0.05,144,31354,10
Facebook Penn94,highest_degree,2,0.05,145,31361,10
Facebook Penn94,highest_degree,2,0.05,146,31231,10
Facebook Penn94,highest_degree,2,0.05,147,31345,10
Facebook Penn94,highest_degree,2,0.05,148,31191,10
Facebook Penn94,highest_degree,2,0.05,149,31151,10
Facebook Penn94,highest_degree,2,0.05,150,31280,10
Facebook Penn94,highest_degree,2,0.05,151,31334,13
Facebook Penn94,highest_degree,2,0.05,152,31409,11
Facebook Penn94,highest_degree,2,0.05,153,31227,9
Facebook Penn94,highest_degree,2,0.05,154,31241,10
Facebook Penn94,highest_degree,2,0.05,155,31412,10
Facebook Penn94,highest_degree,2,0.05,156,31292,9
Facebook Penn94,highest_degree,2,0.05,157,31220,10
Facebook Penn94,highest_degree,2,0.05,158,31235,10
Facebook Penn94,highest_degree,2,0.05,159,31341,10
Facebook Penn94,highest_degree,2,0.05,160,31338,10
Facebook Penn94,highest_degree,2,0.05,161,31394,10
Facebook Penn94,highest_degree,2,0.05,162,31195,10
Facebook Penn94,highest_degree,2,0.05,163,31434,10
Facebook Penn94,highest_degree,2,0.05,164,31283,10
Facebook Penn94,highest_degree,2,0.05,165,31320,11
Facebook Penn94,highest_degree,2,0.05,166,31319,9
Facebook Penn94,highest_degree,2,0.05,167,31357,10
Facebook Penn94,highest_degree,2,0.05,168,31101,10
Facebook Penn94,highest_degree,2,0.05,169,31124,10
Facebook Penn94,highest_degree,2,0.05,170,31439,11
Facebook Penn94,highest_degree,2,0.05,171,31256,11
Facebook Penn94,highest_degree,2,0.05,172,31407,10
Facebook Penn94,highest_degree,2,0.05,173,31340,11
Facebook Penn94,highest_degree,2,0.05,174,31223,10
Facebook Penn94,highest_degree,2,0.05,175,31393,10
Facebook Penn94,highest_degree,2,0.05,176,31388,9
Facebook Penn94,highest_degree,2,0.05,177,31372,10
Facebook Penn94,highest_degree,2,0.05,178,31453,10
Facebook Penn94,highest_degree,2,0.05,179,31252,11
Facebook Penn94,highest_degree,2,0.05,180,31249,12
Facebook Penn94,highest_degree,2,0.05,181,31110,10
Facebook Penn94,highest_degree,2,0.05,182,31281,10
Facebook Penn94,highest_degree,2,0.05,183,31252,10
Facebook Penn94,highest_degree,2,0.05,184,31314,10
Facebook Penn94,highest_degree,2,0.05,185,31259,10
Facebook Penn94,highest_degree,2,0.05,186,31353,9
Facebook Penn94,highest_degree,2,0.05,187,31241,10
Facebook Penn94,highest_degree,2,0.05,188,31308,12
Facebook Penn94,highest_degree,2,0.05,189,31219,10
Facebook Penn94,highest_degree,2,0.05,190,31319,9
Facebook Penn94,highest_degree,2,0.05,191,31453,10
Facebook Penn94,highest_degree,2,0.05,192,31366,11
Facebook Penn94,highest_degree,2,0.05,193,31328,11
Facebook Penn94,highest_degree,2,0.05,194,31218,10
Facebook Penn94,highest_degree,2,0.05,195,31236,10
Facebook Penn94,highest_degree,2,0.05,196,31275,11
Facebook Penn94,highest_degree,2,0.05,197,31316,11
Facebook Penn94,highest_degree,2,0.05,198,31335,10
Facebook Penn94,highest_degree,2,0.05,199,31275,12
Facebook Penn94,highest_degree,2,0.05,200,31332,10
Facebook Penn94,highest_degree,2,0.05,201,31278,11
Facebook Penn94,highest_degree,2,0.05,202,31251,9
Facebook Penn94,highest_degree,2,0.05,203,31390,10
Facebook Penn94,highest_degree,2,0.05,204,31233,11
Facebook Penn94,highest_degree,2,0.05,205,31291,10
Facebook Penn94,highest_degree,2,0.05,206,31154,10
Facebook Penn94,highest_degree,2,0.05,207,31204,11
Facebook Penn94,highest_degree,2,0.05,208,31210,11
Facebook Penn94,highest_degree,2,0.05,209,31325,9
Facebook Penn94,highest_degree,2,0.05,210,31137,10
Facebook Penn94,highest_degree,2,0.05,211,31354,11
Facebook Penn94,highest_degree,2,0.05,212,31330,11
Facebook Penn94,highest_degree,2,0.05,213,31273,9
Facebook Penn94,highest_degree,2,0.05,214,31186,10
Facebook Penn94,highest_degree,2,0.05,215,31242,11
Facebook Penn94,highest_degree,2,0.05,216,31231,10
Facebook Penn94,highest_degree,2,0.05,217,31225,10
Facebook Penn94,highest_degree,2,0.05,218,31387,11
Facebook Penn94,highest_degree,2,0.05,219,31326,11
Facebook Penn94,highest_degree,2,0.05,220,31255,11
Facebook Penn94,highest_degree,2,0.05,221,31152,10
Facebook Penn94,highest_degree,2,0.05,222,31327,9
Facebook Penn94,highest_degree,2,0.05,223,31334,10
Facebook Penn94,highest_degree,2,0.05,224,31368,10
Facebook Penn94,highest_degree,2,0.05,225,31205,9
Facebook Penn94,highest_degree,2,0.05,226,31267,12
Facebook Penn94,highest_degree,2,0.05,227,31291,10
Facebook Penn94,highest_degree,2,0.05,228,31295,12
Facebook Penn94,highest_degree,2,0.05,229,31242,10
Facebook Penn94,highest_degree,2,0.05,230,31406,9
Facebook Penn94,highest_degree,2,0.05,231,31224,10
Facebook Penn94,highest_degree,2,0.05,232,31189,11
Facebook Penn94,highest_degree,2,0.05,233,31328,10
Facebook Penn94,highest_degree,2,0.05,234,31238,11
Facebook Penn94,highest_degree,2,0.05,235,31208,10
Facebook Penn94,highest_degree,2,0.05,236,31383,9
Facebook Penn94,highest_degree,2,0.05,237,31530,11
Facebook Penn94,highest_degree,2,0.05,238,31151,10
Facebook Penn94,highest_degree,2,0.05,239,31207,9
Facebook Penn94,highest_degree,2,0.05,240,31381,10
Facebook Penn94,highest_degree,2,0.05,241,31180,11
Facebook Penn94,highest_degree,2,0.05,242,31373,11
Facebook Penn94,highest_degree,2,0.05,243,31109,10
Facebook Penn94,highest_degree,2,0.05,244,31209,11
Facebook Penn94,highest_degree,2,0.05,245,31232,10
Facebook Penn94,highest_degree,2,0.05,246,31333,11
Facebook Penn94,highest_degree,2,0.05,247,31284,10
Facebook Penn94,highest_degree,2,0.05,248,31344,11
Facebook Penn94,highest_degree,2,0.05,249,31281,10
Facebook Penn94,highest_degree,2,0.05,250,31398,10
Facebook Penn94,highest_degree,2,0.05,251,31221,9
Facebook Penn94,highest_degree,2,0.05,252,31180,11
Facebook Penn94,highest_degree,2,0.05,253,31198,11
Facebook Penn94,highest_degree,2,0.05,254,31250,11
Facebook Penn94,highest_degree,2,0.05,255,31267,10
Facebook Penn94,highest_degree,2,0.05,256,31282,10
Facebook Penn94,highest_degree,2,0.05,257,31216,10
Facebook Penn94,highest_degree,2,0.05,258,31236,10
Facebook Penn94,highest_degree,2,0.05,259,31406,10
Facebook Penn94,highest_degree,2,0.05,260,31354,10
Facebook Penn94,highest_degree,2,0.05,261,31500,10
Facebook Penn94,highest_degree,2,0.05,262,31216,10
Facebook Penn94,highest_degree,2,0.05,263,31266,10
Facebook Penn94,highest_degree,2,0.05,264,31249,9
Facebook Penn94,highest_degree,2,0.05,265,31119,11
Facebook Penn94,highest_degree,2,0.05,266,31311,10
Facebook Penn94,highest_degree,2,0.05,267,31223,10
Facebook Penn94,highest_degree,2,0.05,268,31327,10
Facebook Penn94,highest_degree,2,0.05,269,31305,10
Facebook Penn94,highest_degree,2,0.05,270,31302,11
Facebook Penn94,highest_degree,2,0.05,271,31316,10
Facebook Penn94,highest_degree,2,0.05,272,31139,10
Facebook Penn94,highest_degree,2,0.05,273,31286,11
Facebook Penn94,highest_degree,2,0.05,274,31312,11
Facebook Penn94,highest_degree,2,0.05,275,31292,11
Facebook Penn94,highest_degree,2,0.05,276,31412,10
Facebook Penn94,highest_degree,2,0.05,277,31221,9
Facebook Penn94,highest_degree,2,0.05,278,31527,11
Facebook Penn94,highest_degree,2,0.05,279,31350,10
Facebook Penn94,highest_degree,2,0.05,280,31317,11
Facebook Penn94,highest_degree,2,0.05,281,31270,12
Facebook Penn94,highest_degree,2,0.05,282,31205,11
Facebook Penn94,highest_degree,2,0.05,283,31350,10
Facebook Penn94,highest_degree,2,0.05,284,31349,10
Facebook Penn94,highest_degree,2,0.05,285,31205,10
Facebook Penn94,highest_degree,2,0.05,286,31237,9
Facebook Penn94,highest_degree,2,0.05,287,31271,10
Facebook Penn94,highest_degree,2,0.05,288,31131,10
Facebook Penn94,highest_degree,2,0.05,289,31372,10
Facebook Penn94,highest_degree,2,0.05,290,31431,10
Facebook Penn94,highest_degree,2,0.05,291,31247,11
Facebook Penn94,highest_degree,2,0.05,292,31317,9
Facebook Penn94,highest_degree,2,0.05,293,31372,11
Facebook Penn94,highest_degree,2,0.05,294,31431,10
Facebook Penn94,highest_degree,2,0.05,295,31257,10
Facebook Penn94,highest_degree,2,0.05,296,31351,11
Facebook Penn94,highest_degree,2,0.05,297,31356,10
Facebook Penn94,highest_degree,2,0.05,298,31246,10
Facebook Penn94,highest_degree,2,0.05,299,31260,10
Facebook Penn94,highest_degree,2,0.05,300,31367,11
Facebook Penn94,highest_degree,2,0.05,301,31219,11
Facebook Penn94,highest_degree,2,0.05,302,31158,11
Facebook Penn94,highest_degree,2,0.05,303,31289,11
Facebook Penn94,highest_degree,2,0.05,304,31316,10
Facebook Penn94,highest_degree,2,0.05,305,31262,10
Facebook Penn94,highest_degree,2,0.05,306,31323,11
Facebook Penn94,highest_degree,2,0.05,307,31158,11
Facebook Penn94,highest_degree,2,0.05,308,31262,9
Facebook Penn94,highest_degree,2,0.05,309,31176,12
Facebook Penn94,highest_degree,2,0.05,310,31471,11
Facebook Penn94,highest_degree,2,0.05,311,31217,10
Facebook Penn94,highest_degree,2,0.05,312,31299,11
Facebook Penn94,highest_degree,2,0.05,313,31393,13
Facebook Penn94,highest_degree,2,0.05,314,31246,10
Facebook Penn94,highest_degree,2,0.05,315,31263,10
Facebook Penn94,highest_degree,2,0.05,316,31222,10
Facebook Penn94,highest_degree,2,0.05,317,31256,10
Facebook Penn94,highest_degree,2,0.05,318,31248,11
Facebook Penn94,highest_degree,2,0.05,319,31352,10
Facebook Penn94,highest_degree,2,0.05,320,31298,10
Facebook Penn94,highest_degree,2,0.05,321,31261,10
Facebook Penn94,highest_degree,2,0.05,322,31281,12
Facebook Penn94,highest_degree,2,0.05,323,31325,11
Facebook Penn94,highest_degree,2,0.05,324,31256,10
Facebook Penn94,highest_degree,2,0.05,325,31240,12
Facebook Penn94,highest_degree,2,0.05,326,31280,11
Facebook Penn94,highest_degree,2,0.05,327,31249,10
Facebook Penn94,highest_degree,2,0.05,328,31303,12
Facebook Penn94,highest_degree,2,0.05,329,31210,10
Facebook Penn94,highest_degree,2,0.05,330,31250,10
Facebook Penn94,highest_degree,2,0.05,331,31239,12
Facebook Penn94,highest_degree,2,0.05,332,31323,10
Facebook Penn94,highest_degree,2,0.05,333,31352,10
Facebook Penn94,highest_degree,2,0.05,334,31267,10
Facebook Penn94,highest_degree,2,0.05,335,31233,12
Facebook Penn94,highest_degree,2,0.05,336,31312,11
Facebook Penn94,highest_degree,2,0.05,337,31431,11
Facebook Penn94,highest_degree,2,0.05,338,31184,12
Facebook Penn94,highest_degree,2,0.05,339,31361,10
Facebook Penn94,highest_degree,2,0.05,340,31270,13
Facebook Penn94,highest_degree,2,0.05,341,31242,10
Facebook Penn94,highest_degree,2,0.05,342,31285,10
Facebook Penn94,highest_degree,2,0.05,343,31245,11
Facebook Penn94,highest_degree,2,0.05,344,31329,13
Facebook Penn94,highest_degree,2,0.05,345,31422,12
Facebook Penn94,highest_degree,2,0.05,346,31330,10
Facebook Penn94,highest_degree,2,0.05,347,31165,12
Facebook Penn94,highest_degree,2,0.05,348,31333,9
Facebook Penn94,highest_degree,2,0.05,349,31063,10
Facebook Penn94,highest_degree,2,0.05,350,31131,10
Facebook Penn94,highest_degree,2,0.05,351,31340,11
Facebook Penn94,highest_degree,2,0.05,352,31353,10
Facebook Penn94,highest_degree,2,0.05,353,31208,10
Facebook Penn94,highest_degree,2,0.05,354,31275,10
Facebook Penn94,highest_degree,2,0.05,355,31290,10
Facebook Penn94,highest_degree,2,0.05,356,31093,10
Facebook Penn94,highest_degree,2,0.05,357,31434,11
Facebook Penn94,highest_degree,2,0.05,358,31380,10
Facebook Penn94,highest_degree,2,0.05,359,31203,10
Facebook Penn94,highest_degree,2,0.05,360,31231,10
Facebook Penn94,highest_degree,2,0.05,361,31226,9
Facebook Penn94,highest_degree,2,0.05,362,31261,10
Facebook Penn94,highest_degree,2,0.05,363,31170,11
Facebook Penn94,highest_degree,2,0.05,364,31244,9
Facebook Penn94,highest_degree,2,0.05,365,31211,9
Facebook Penn94,highest_degree,2,0.05,366,31351,10
Facebook Penn94,highest_degree,2,0.05,367,31231,10
Facebook Penn94,highest_degree,2,0.05,368,31276,14
Facebook Penn94,highest_degree,2,0.05,369,31380,10
Facebook Penn94,highest_degree,2,0.05,370,31176,11
Facebook Penn94,highest_degree,2,0.05,371,31329,10
Facebook Penn94,highest_degree,2,0.05,372,31303,9
Facebook Penn94,highest_degree,2,0.05,373,31324,10
Facebook Penn94,highest_degree,2,0.05,374,31347,12
Facebook Penn94,highest_degree,2,0.05,375,31274,12
Facebook Penn94,highest_degree,2,0.05,376,31253,11
Facebook Penn94,highest_degree,2,0.05,377,31269,11
Facebook Penn94,highest_degree,2,0.05,378,31271,11
Facebook Penn94,highest_degree,2,0.05,379,31334,10
Facebook Penn94,highest_degree,2,0.05,380,31309,11
Facebook Penn94,highest_degree,2,0.05,381,31283,13
Facebook Penn94,highest_degree,2,0.05,382,31334,10
Facebook Penn94,highest_degree,2,0.05,383,31229,11
Facebook Penn94,highest_degree,2,0.05,384,31285,10
Facebook Penn94,highest_degree,2,0.05,385,31254,9
Facebook Penn94,highest_degree,2,0.05,386,31221,10
Facebook Penn94,highest_degree,2,0.05,387,31331,10
Facebook Penn94,highest_degree,2,0.05,388,31284,11
Facebook Penn94,highest_degree,2,0.05,389,31179,9
Facebook Penn94,highest_degree,2,0.05,390,31396,10
Facebook Penn94,highest_degree,2,0.05,391,31258,10
Facebook Penn94,highest_degree,2,0.05,392,31323,9
Facebook Penn94,highest_degree,2,0.05,393,31256,10
Facebook Penn94,highest_degree,2,0.05,394,31265,11
Facebook Penn94,highest_degree,2,0.05,395,31367,11
Facebook Penn94,highest_degree,2,0.05,396,31201,10
Facebook Penn94,highest_degree,2,0.05,397,31240,10
Facebook Penn94,highest_degree,2,0.05,398,31317,10
Facebook Penn94,highest_degree,2,0.05,399,31423,11
Facebook Penn94,highest_degree,2,0.05,400,31222,10
Facebook Penn94,highest_degree,2,0.05,401,31391,11
Facebook Penn94,highest_degree,2,0.05,402,31321,10
Facebook Penn94,highest_degree,2,0.05,403,31244,11
Facebook Penn94,highest_degree,2,0.05,404,31200,11
Facebook Penn94,highest_degree,2,0.05,405,31306,10
Facebook Penn94,highest_degree,2,0.05,406,31255,11
Facebook Penn94,highest_degree,2,0.05,407,31355,10
Facebook Penn94,highest_degree,2,0.05,408,31281,9
Facebook Penn94,highest_degree,2,0.05,409,31330,11
Facebook Penn94,highest_degree,2,0.05,410,31312,11
Facebook Penn94,highest_degree,2,0.05,411,31355,11
Facebook Penn94,highest_degree,2,0.05,412,31181,10
Facebook Penn94,highest_degree,2,0.05,413,31163,11
Facebook Penn94,highest_degree,2,0.05,414,31186,10
Facebook Penn94,highest_degree,2,0.05,415,31326,12
Facebook Penn94,highest_degree,2,0.05,416,31292,11
Facebook Penn94,highest_degree,2,0.05,417,31168,10
Facebook Penn94,highest_degree,2,0.05,418,31397,10
Facebook Penn94,highest_degree,2,0.05,419,31177,10
Facebook Penn94,highest_degree,2,0.05,420,31201,11
Facebook Penn94,highest_degree,2,0.05,421,31285,9
Facebook Penn94,highest_degree,2,0.05,422,31305,10
Facebook Penn94,highest_degree,2,0.05,423,31358,11
Facebook Penn94,highest_degree,2,0.05,424,31358,10
Facebook Penn94,highest_degree,2,0.05,425,31288,10
Facebook Penn94,highest_degree,2,0.05,426,31435,11
Facebook Penn94,highest_degree,2,0.05,427,31247,8
Facebook Penn94,highest_degree,2,0.05,428,31381,10
Facebook Penn94,highest_degree,2,0.05,429,31446,10
Facebook Penn94,highest_degree,2,0.05,430,31289,9
Facebook Penn94,highest_degree,2,0.05,431,31174,11
Facebook Penn94,highest_degree,2,0.05,432,31288,10
Facebook Penn94,highest_degree,2,0.05,433,31413,12
Facebook Penn94,highest_degree,2,0.05,434,31253,11
Facebook Penn94,highest_degree,2,0.05,435,31240,11
Facebook Penn94,highest_degree,2,0.05,436,31221,13
Facebook Penn94,highest_degree,2,0.05,437,31229,10
Facebook Penn94,highest_degree,2,0.05,438,31339,10
Facebook Penn94,highest_degree,2,0.05,439,31145,10
Facebook Penn94,highest_degree,2,0.05,440,31314,10
Facebook Penn94,highest_degree,2,0.05,441,31349,10
Facebook Penn94,highest_degree,2,0.05,442,31281,10
Facebook Penn94,highest_degree,2,0.05,443,31300,11
Facebook Penn94,highest_degree,2,0.05,444,31358,11
Facebook Penn94,highest_degree,2,0.05,445,31355,10
Facebook Penn94,highest_degree,2,0.05,446,31524,12
Facebook Penn94,highest_degree,2,0.05,447,31350,10
Facebook Penn94,highest_degree,2,0.05,448,31235,11
Facebook Penn94,highest_degree,2,0.05,449,31209,11
Facebook Penn94,highest_degree,2,0.05,450,31228,10
Facebook Penn94,highest_degree,2,0.05,451,31261,10
Facebook Penn94,highest_degree,2,0.05,452,31342,11
Facebook Penn94,highest_degree,2,0.05,453,31279,11
Facebook Penn94,highest_degree,2,0.05,454,31258,10
Facebook Penn94,highest_degree,2,0.05,455,31231,10
Facebook Penn94,highest_degree,2,0.05,456,31247,9
Facebook Penn94,highest_degree,2,0.05,457,31374,10
Facebook Penn94,highest_degree,2,0.05,458,31204,10
Facebook Penn94,highest_degree,2,0.05,459,31385,12
Facebook Penn94,highest_degree,2,0.05,460,31265,11
Facebook Penn94,highest_degree,2,0.05,461,31272,11
Facebook Penn94,highest_degree,2,0.05,462,31257,12
Facebook Penn94,highest_degree,2,0.05,463,31202,10
Facebook Penn94,highest_degree,2,0.05,464,31358,11
Facebook Penn94,highest_degree,2,0.05,465,31368,12
Facebook Penn94,highest_degree,2,0.05,466,31427,11
Facebook Penn94,highest_degree,2,0.05,467,31260,11
Facebook Penn94,highest_degree,2,0.05,468,31326,10
Facebook Penn94,highest_degree,2,0.05,469,31313,12
Facebook Penn94,highest_degree,2,0.05,470,31392,11
Facebook Penn94,highest_degree,2,0.05,471,31399,11
Facebook Penn94,highest_degree,2,0.05,472,31281,10
Facebook Penn94,highest_degree,2,0.05,473,31277,11
Facebook Penn94,highest_degree,2,0.05,474,31058,10
Facebook Penn94,highest_degree,2,0.05,475,31315,12
Facebook Penn94,highest_degree,2,0.05,476,31209,14
Facebook Penn94,highest_degree,2,0.05,477,31265,13
Facebook Penn94,highest_degree,2,0.05,478,31256,9
Facebook Penn94,highest_degree,2,0.05,479,31204,11
Facebook Penn94,highest_degree,2,0.05,480,31320,10
Facebook Penn94,highest_degree,2,0.05,481,31361,10
Facebook Penn94,highest_degree,2,0.05,482,31396,10
Facebook Penn94,highest_degree,2,0.05,483,31373,10
Facebook Penn94,highest_degree,2,0.05,484,31318,10
Facebook Penn94,highest_degree,2,0.05,485,31352,12
Facebook Penn94,highest_degree,2,0.05,486,31307,10
Facebook Penn94,highest_degree,2,0.05,487,31274,10
Facebook Penn94,highest_degree,2,0.05,488,31221,10
Facebook Penn94,highest_degree,2,0.05,489,31398,10
Facebook Penn94,highest_degree,2,0.05,490,31193,10
Facebook Penn94,highest_degree,2,0.05,491,31148,10
Facebook Penn94,highest_degree,2,0.05,492,31228,10
Facebook Penn94,highest_degree,2,0.05,493,31249,10
Facebook Penn94,highest_degree,2,0.05,494,31253,11
Facebook Penn94,highest_degree,2,0.05,495,31282,10
Facebook Penn94,highest_degree,2,0.05,496,31094,10
Facebook Penn94,highest_degree,2,0.05,497,31329,10
