network,method,k,p,time_step,mean_active,median_active,q1_active,q3_active
Facebook Penn94,highest_degree,4,0.05,9,31280.525,31279.0,31227.75,31333.25
Facebook Penn94,highest_degree,4,0.05,10,31282.321,31281.0,31229.0,31336.0
Facebook Penn94,highest_degree,4,0.05,11,31282.737,31281.0,31229.75,31336.0
Facebook Penn94,highest_degree,4,0.05,12,31282.834,31281.5,31230.0,31336.25
Facebook Penn94,highest_degree,4,0.05,13,31282.865,31281.5,31230.0,31336.25
Facebook Penn94,highest_degree,4,0.05,14,31282.872,31281.5,31230.0,31336.25
Facebook Penn94,highest_degree,4,0.05,15,31282.874,31281.5,31230.0,31336.25
Facebook Penn94,highest_degree,4,0.05,16,31282.877,31281.5,31230.0,31336.25
Facebook Penn94,highest_degree,10,0.05,0,10.0,10.0,10.0,10.0
Facebook Penn94,highest_degree,10,0.05,1,1302.262,1302.0,1281.0,1324.0
Facebook Penn94,highest_degree,10,0.05,2,6958.689,6959.5,6831.0,7076.25
Facebook Penn94,highest_degree,10,0.05,3,19642.474,19642.0,19470.75,19812.25
Facebook Penn94,highest_degree,10,0.05,4,28101.276,28103.0,28009.75,28196.0
Facebook Penn94,highest_degree,10,0.05,5,30596.027,30599.0,30541.75,30653.0
Facebook Penn94,highest_degree,10,0.05,6,31142.177,31142.0,31091.0,31196.25
Facebook Penn94,highest_degree,10,0.05,7,31254.807,31255.0,31202.0,31308.25
Facebook Penn94,highest_degree,10,0.05,8,31278.352,31279.0,31227.0,31331.0
Facebook Penn94,highest_degree,10,0.05,9,31283.332,31283.5,31231.75,31336.0
Facebook Penn94,highest_degree,10,0.05,10,31284.418,31284.0,31232.75,31337.0
Facebook Penn94,highest_degree,10,0.05,11,31284.658,31284.5,31232.75,31337.0
Facebook Penn94,highest_degree,10,0.05,12,31284.708,31284.5,31233.0,31337.0
Facebook Penn94,highest_degree,10,0.05,13,31284.713,31284.5,31233.0,31337.0
Facebook Penn94,distance_greedy,2,0.05,0,2.0,2.0,2.0,2.0
Facebook Penn94,distance_greedy,2,0.05,1,346.192,346.5,335.0,358.0
Facebook Penn94,distance_greedy,2,0.05,2,2188.834,2189.0,2080.75,2295.0
Facebook Penn94,distance_greedy,2,0.05,3,10685.192,10698.5,10347.75,11034.25
Facebook Penn94,distance_greedy,2,0.05,4,23321.541,23333.5,23053.75,23592.75
Facebook Penn94,distance_greedy,2,0.05,5,29334.635,29338.0,29242.0,29433.25
Facebook Penn94,distance_greedy,2,0.05,6,30875.166,30875.0,30821.0,30930.0
Facebook Penn94,distance_greedy,2,0.05,7,31199.964,31200.0,31150.0,31250.25
Facebook Penn94,distance_greedy,2,0.05,8,31267.257,31265.0,31218.0,31322.0
Facebook Penn94,distance_greedy,2,0.05,9,31281.2,31281.0,31231.0,31335.0
Facebook Penn94,distance_greedy,2,0.05,10,31284.183,31284.0,31234.0,31338.0
Facebook Penn94,distance_greedy,2,0.05,11,31284.816,31285.0,31235.0,31338.0
Facebook Penn94,distance_greedy,2,0.05,12,31284.968,31285.0,31235.0,31338.0
Facebook Penn94,distance_greedy,2,0.05,13,31284.996,31285.0,31235.0,31338.0
Facebook Penn94,distance_greedy,2,0.05,14,31285.003,31285.0,31235.0,31338.0
Facebook Penn94,distance_greedy,2,0.05,15,31285.004,31285.0,31235.0,31338.0
Facebook Penn94,distance_greedy,4,0.05,0,4.0,4.0,4.0,4.0
Facebook Penn94,distance_greedy,4,0.05,1,493.914,494.0,480.0,507.0
Facebook Penn94,distance_greedy,4,0.05,2,3157.176,3157.0,3046.0,3263.0
Facebook Penn94,distance_greedy,4,0.05,3,13327.856,13331.5,13047.75,13610.25
Facebook Penn94,distance_greedy,4,0.05,4,25054.562,25062.5,24876.0,25248.5
Facebook Penn94,distance_greedy,4,0.05,5,29813.727,29813.0,29737.75,29891.0
Facebook Penn94,distance_greedy,4,0.05,6,30975.706,30976.5,30923.0,31026.0
Facebook Penn94,distance_greedy,4,0.05,7,31219.594,31217.0,31167.0,31270.25
Facebook Penn94,distance_greedy,4,0.05,8,31270.467,31269.0,31218.0,31320.25
Facebook Penn94,distance_greedy,4,0.05,9,31281.031,31280.0,31228.0,31332.0
Facebook Penn94,distance_greedy,4,0.05,10,31283.312,31283.0,31229.0,31334.0
Facebook Penn94,distance_greedy,4,0.05,11,31283.837,31283.5,31230.0,31334.0
Facebook Penn94,distance_greedy,4,0.05,12,31283.957,31284.0,31230.0,31334.25
Facebook Penn94,distance_greedy,4,0.05,13,31283.98,31284.0,31230.0,31334.25
Facebook Penn94,distance_greedy,4,0.05,14,31283.987,31284.0,31230.0,31334.25
Facebook Penn94,distance_greedy,4,0.05,15,31283.988,31284.0,31230.0,31334.25
Facebook Penn94,distance_greedy,10,0.05,0,10.0,10.0,10.0,10.0
Facebook Penn94,distance_greedy,10,0.05,1,686.806,687.0,670.0,703.0
Facebook Penn94,distance_greedy,10,0.05,2,4283.412,4282.5,4150.0,4413.0
Facebook Penn94,distance_greedy,10,0.05,3,15691.088,15687.5,15429.0,15945.0
Facebook Penn94,distance_greedy,10,0.05,4,26321.702,26325.0,26171.0,26473.25
Facebook Penn94,distance_greedy,10,0.05,5,30147.133,30145.5,30081.0,30210.0
Facebook Penn94,distance_greedy,10,0.05,6,31044.728,31044.0,30992.0,31097.0
Facebook Penn94,distance_greedy,10,0.05,7,31231.752,31232.0,31179.75,31284.0
Facebook Penn94,distance_greedy,10,0.05,8,31270.49,31272.0,31217.0,31322.25
Facebook Penn94,distance_greedy,10,0.05,9,31278.737,31280.0,31225.0,31331.0
Facebook Penn94,distance_greedy,10,0.05,10,31280.565,31282.0,31228.0,31332.0
Facebook Penn94,distance_greedy,10,0.05,11,31280.93,31283.0,31228.0,31332.25
Facebook Penn94,distance_greedy,10,0.05,12,31281.015,31283.0,31228.0,31332.25
Facebook Penn94,distance_greedy,10,0.05,13,31281.038,31283.0,31228.0,31332.25
Facebook Penn94,distance_greedy,10,0.05,14,31281.042,31283.0,31228.0,31332.25
