Node,Random Walk Closeness (Weighted),Random Walk Closeness (Unweighted)
Botswana,0.001155462792855659,0.0007009345794392524
Burundi,0.0008350863456836444,0.0007009345794392524
Mauritania,0.0010252527242193567,0.004349775942970716
Egypt,0.0007009345794392524,0.010633293291761568
Iraq,0.0007009345794392524,0.0007009345794392524
Kazakhstan,0.0007009345794392524,0.004395224137364581
Tajikistan,0.0007009345794392524,0.004883270334211684
Turkmenistan,0.0007009345794392524,0.0007009345794392524
United_Arab_Emirates,0.0007009345794392524,0.005078218045156967
Uzbekistan,0.0007009345794392524,0.008014820360647355
Viet_Nam,0.0007009345794392524,0.0007009345794392524
Bahamas,0.0007009345794392524,0.0007009345794392524
Comoros,0.0007009345794392524,0.007104982426503277
Cuba,0.0007009345794392524,0.00658078648844664
Dominica,0.0007009345794392524,0.0059444935327096675
Dominican_Republic,0.0007009345794392524,0.0007009345794392524
Panama,0.0007009345794392524,0.0007009345794392524
Sao_Tome_and_Principe,0.0007009345794392524,0.0007009345794392524
Unspecified,0.0007009345794392524,0.0007009345794392524
Honduras,0.0007009345794392524,0.0007009345794392524
Papua_New_Guinea,0.0007009345794392524,0.0036667049895770776
Paraguay,0.0007009345794392524,0.0007009345794392524
Sudan_(former),0.0007009345794392524,0.0007009345794392524
Uruguay,0.0007009345794392524,0.007368244891868972
Mali,0.0007009345794392524,0.0007009345794392524
Nauru,0.0007009345794392524,0.007066970413636358
Sierra_Leone,0.0007009345794392524,0.008705635260349896
Netherlands_Antilles,0.0007009345794392524,0.003891504616903414
American_Samoa,0.0007009345794392524,0.006829381334033167
Antigua_and_Barbuda,0.0007009345794392524,0.00471285015556049
Bangladesh,0.0007009345794392524,0.0007009345794392524
Bermuda,0.0007009345794392524,0.005730968102755076
Democratic_People's_Republic_of_Korea,0.0007009345794392524,0.0007009345794392524
Democratic_Republic_of_the_Congo,0.0007009345794392524,0.0007009345794392524
Djibouti,0.0007009345794392524,0.006657178570148513
Eritrea,0.0007009345794392524,0.007078027436779128
Guinea,0.0007009345794392524,0.006749405799841288
Lao_People's_Democratic_Republic,0.0007009345794392524,0.0007009345794392524
Marshall_Islands,0.0007009345794392524,0.0007009345794392524
Mongolia,0.0007009345794392524,0.0007009345794392524
Mozambique,0.0007009345794392524,0.005103266169742877
Myanmar,0.0007009345794392524,0.0007009345794392524
Namibia,0.0007009345794392524,0.0007009345794392524
Saint_Lucia,0.0007009345794392524,0.006126316673272596
Samoa,0.0007009345794392524,0.0007009345794392524
Solomon_Islands,0.0007009345794392524,0.0007009345794392524
Swaziland,0.0007009345794392524,0.0007009345794392524
Timor-Leste,0.0007009345794392524,0.0007009345794392524
Yemen,0.0007009345794392524,0.0007009345794392524
Algeria,0.0007009345794392524,0.0007009345794392524
Grenada,0.0007009345794392524,0.0007009345794392524
Kuwait,0.0007009345794392524,0.0007009345794392524
Falkland_Islands_(Malvinas),0.0007009345794392524,0.0007009345794392524
Guam,0.0007009345794392524,0.0007009345794392524
Somalia,0.0007009345794392524,0.0007009345794392524
Saint_Kitts_and_Nevis,0.0007009345794392524,0.0007009345794392524
Angola,0.0007009345794392524,0.0007009345794392524
Gabon,0.0007009345794392524,0.0007009345794392524
Haiti,0.0007009345794392524,0.0007009345794392524
Liberia,0.0007009345794392524,0.0007009345794392524
Occupied_Palestinian_Territory,0.0007009345794392524,0.0037811649681755407
British_Virgin_Islands,0.0007009345794392524,0.0007009345794392524
Seychelles,0.0007009345794392524,0.0007009345794392524
Cook_Islands,0.0007009345794392524,0.0007009345794392524
Lesotho,0.0007009345794392524,0.0007009345794392524
Guinea-Bissau,0.0007009345794392524,0.0007009345794392524
Niue,0.0007009345794392524,0.0007009345794392524
Chad,0.0007009345794392524,0.0007009345794392524
Equatorial_Guinea,0.0007009345794392524,0.0007009345794392524
Faroe_Islands,0.0007009345794392524,0.0007009345794392524
Montserrat,0.0007009345794392524,0.0007009345794392524
Saint_Pierre_and_Miquelon,0.0007009345794392524,0.0007009345794392524
Turks_and_Caicos_Islands,0.0007009345794392524,0.0007009345794392524
Brunei_Darussalam,0.0007009345794392524,0.0007009345794392524
Greenland,0.0007009345794392524,0.001968084386066485
Libya,0.0007009345794392524,0.0007009345794392524
Micronesia_(Federated_States_of),0.0007009345794392524,0.0007009345794392524
Palau,0.0007009345794392524,0.0007009345794392524
Kiribati,0.0007009345794392524,0.0007009345794392524
"Saint_Helena,_Ascension_and_Tristan_da_Cunha",0.0007009345794392524,0.0007009345794392524
Tuvalu,0.0007009345794392524,0.0007009345794392524
Cayman_Islands,0.0007009345794392524,0.0007009345794392524
Mayotte,0.0007009345794392524,0.0007009345794392524
Andorra,0.0007009345794392524,0.0007009345794392524
