Node,Occupation Centrality (Weighted),Occupation Centrality (Unweighted),Degree (Weighted),Degree (Unweighted)
El_Salvador,0.00048,0.0064,2230619.0,161
Estonia,0.00181,0.00615,1882605.0,127
Fiji,0.00018,0.00452,513166.0,99
Georgia,0.00172,0.01158,1097212.0,267
Iceland,0.00024,0.00645,404906.0,176
Jamaica,0.00064,0.00385,1086983.0,75
Madagascar,0.00037,0.00795,601835.0,200
New_Zealand,0.0021,0.00344,20256109.0,74
Peru,0.00097,0.0096,6769108.0,249
South_Africa,0.00338,0.00459,12137139.0,143
Trinidad_and_Tobago,0.00051,0.00339,951711.0,65
United_Republic_of_Tanzania,0.00116,0.00277,1736248.0,67
Zambia,0.00018,0.0,783450.0,40
Ghana,0.00078,0.00981,3993075.0,255
Guyana,0.00016,0.00373,473265.0,95
Oman,0.0053,0.00978,2570824.0,240
Aruba,0.00029,0.009,323510.0,243
Azerbaijan,0.00234,0.00743,1516760.0,189
Cambodia,0.00058,0.0,626741.0,67
"China,_Macao_SAR",0.02324,0.0041,913284.0,103
Malta,0.00058,0.0,582674.0,102
Nepal,0.00053,0.00815,685614.0,206
New_Caledonia,0.00033,0.0,377079.0,87
Niger,0.00015,0.00685,364676.0,205
Qatar,0.0125,0.00443,1876951.0,147
Rwanda,0.00016,0.00778,263711.0,153
Tonga,3e-05,0.00544,46820.0,123
Vanuatu,6e-05,0.0,89351.0,4
Zimbabwe,0.00209,0.0,2706574.0,113
Burkina_Faso,0.00025,0.0,751586.0,125
Togo,0.00013,0.0,561800.0,10
Saint_Vincent_and_the_Grenadines,4e-05,0.00821,92621.0,210
Bhutan,2e-05,0.00683,95176.0,191
Maldives,0.00017,0.0,232186.0,39
Cabo_Verde,0.00018,0.0,205094.0,91
Suriname,0.00022,0.00974,288693.0,232
Belize,6e-05,0.00942,287995.0,240
Gambia,0.00023,0.00579,189761.0,146
Central_African_Republic,2e-05,0.00614,71679.0,126
Nigeria,2e-05,0.00867,1380103.0,185
Botswana,0.00037,0.0,794087.0,25
Burundi,0.00012,1e-05,111756.0,71
Mauritania,0.00044,0.00504,357896.0,130
Egypt,0.0,0.01181,3241825.0,289
Iraq,0.0,0.0,51462.0,60
Kazakhstan,0.0,0.00439,1290116.0,128
Tajikistan,0.0,0.00489,321132.0,172
Turkmenistan,0.0,0.0,298600.0,58
United_Arab_Emirates,0.0,0.00521,6076399.0,96
Uzbekistan,0.0,0.009,2224072.0,150
Viet_Nam,0.0,0.0,9696330.0,123
Bahamas,0.0,0.0,20961.0,68
Comoros,0.0,0.00792,19136.0,120
Cuba,0.0,0.00667,908384.0,226
Dominica,0.0,0.00656,21909.0,154
Dominican_Republic,0.0,0.0,1512684.0,85
Panama,0.0,0.0,447405.0,28
Sao_Tome_and_Principe,0.0,0.0,8343.0,5
Unspecified,0.0,0.0,1082756.0,18
Honduras,0.0,0.0,1735043.0,43
Papua_New_Guinea,0.0,0.00286,968848.0,81
Paraguay,0.0,0.0,3682381.0,63
Sudan_(former),0.0,0.0,528327.0,27
Uruguay,0.0,0.00804,5109376.0,234
Mali,0.0,0.0,217952.0,32
Nauru,0.0,0.00728,299.0,181
Sierra_Leone,0.0,0.00889,41819.0,210
Netherlands_Antilles,0.0,0.00367,24116.0,90
American_Samoa,0.0,0.00743,1717.0,154
Antigua_and_Barbuda,0.0,0.00481,10605.0,113
Bangladesh,0.0,0.0,235551.0,116
Bermuda,0.0,0.00599,8756.0,93
Democratic_People's_Republic_of_Korea,0.0,0.0,44997.0,60
Democratic_Republic_of_the_Congo,0.0,0.0,94375.0,21
Djibouti,0.0,0.00773,34823.0,172
Eritrea,0.0,0.00799,4252.0,197
Guinea,0.0,0.00723,81736.0,128
Lao_People's_Democratic_Republic,0.0,0.0,221988.0,9
Marshall_Islands,0.0,0.0,3479.0,84
Mongolia,0.0,0.0,160403.0,54
Mozambique,0.0,0.00512,538947.0,100
Myanmar,0.0,0.0,1271852.0,30
Namibia,0.0,0.0,200647.0,41
Saint_Lucia,0.0,0.00661,35378.0,141
Samoa,0.0,0.0,3790.0,24
Solomon_Islands,0.0,0.0,47451.0,45
Swaziland,0.0,0.0,352266.0,20
Timor-Leste,0.0,0.0,6596.0,47
Yemen,0.0,0.0,150026.0,34
Algeria,0.0,0.0,128403.0,2
Grenada,0.0,0.0,6266.0,26
Kuwait,0.0,0.0,171832.0,20
Falkland_Islands_(Malvinas),0.0,0.0,4825.0,11
Guam,0.0,0.0,704.0,28
Somalia,0.0,0.0,214627.0,9
Saint_Kitts_and_Nevis,0.0,0.0,4121.0,5
Angola,0.0,0.0,7155.0,37
Gabon,0.0,0.0,83845.0,31
Haiti,0.0,0.0,51337.0,13
Liberia,0.0,0.0,277816.0,27
Occupied_Palestinian_Territory,0.0,0.00353,96066.0,73
British_Virgin_Islands,0.0,0.0,2265.0,17
Seychelles,0.0,0.0,5251.0,16
Cook_Islands,0.0,0.0,952.0,16
Lesotho,0.0,0.0,8934.0,12
Guinea-Bissau,0.0,0.0,66119.0,34
Niue,0.0,0.0,1590.0,29
Chad,0.0,0.0,24740.0,14
Equatorial_Guinea,0.0,0.0,2498.0,8
Faroe_Islands,0.0,0.0,14145.0,13
Montserrat,0.0,0.0,123.0,5
Saint_Pierre_and_Miquelon,0.0,0.0,35.0,13
Turks_and_Caicos_Islands,0.0,0.0,4481.0,10
Brunei_Darussalam,0.0,0.0,1473.0,13
Greenland,0.0,0.00163,68983.0,28
Libya,0.0,0.0,12273.0,31
Micronesia_(Federated_States_of),0.0,0.0,331.0,6
Palau,0.0,0.0,237.0,3
Kiribati,0.0,0.0,3331.0,10
"Saint_Helena,_Ascension_and_Tristan_da_Cunha",0.0,0.0,354.0,21
Tuvalu,0.0,0.0,47.0,4
Cayman_Islands,0.0,0.0,3046.0,8
Mayotte,0.0,0.0,429.0,2
Andorra,0.0,0.0,11.0,1
