Node,Random Walk Betweenness (Weighted),Random Walk Betweenness (Unweighted)
Fiji,0.06324323897379051,0.007858583636062776
Georgia,0.008678864464042823,0.019069315478236065
Iceland,0.13687797839765722,0.00961082250857214
Jamaica,0.035110632326638636,0.0077074097197169355
Madagascar,0.09097944163101462,0.009784893461903468
New_Zealand,0.036000096997859284,0.007809778254386626
Peru,0.052375758397872396,0.013905536900511755
South_Africa,0.013419039679405609,0.009205691029665486
Trinidad_and_Tobago,0.0356898868515296,0.007589043473694571
United_Republic_of_Tanzania,0.06294021551359974,0.007706748718691125
Zambia,0.044419746907571056,0.0029178184371023643
Ghana,0.09604879322531029,0.015727236846541176
Guyana,0.06132586449816935,0.007774949283375635
Oman,0.007568777148874555,0.013560577937552986
Aruba,0.05872146089666163,0.013261801827470074
Azerbaijan,0.02925264262305199,0.009369626635492616
Cambodia,0.047466157519468054,0.002917818437102366
"China,_Macao_SAR",0.0594609556074608,0.00843912697862568
Malta,0.10842760367572794,0.0029178184371023643
Nepal,0.06194981798509506,0.011049048796352845
New_Caledonia,0.07839447554137563,0.0029178184371023656
Niger,0.03774139145338304,0.010477155465620853
Qatar,0.07597540939649666,0.007838483911419454
Rwanda,0.03158776125078613,0.008715746161940747
Tonga,0.020367375593122596,0.00838202008873907
Vanuatu,0.05140260044169484,0.002917818437102365
Zimbabwe,0.04058290553288578,0.002917818437102367
Burkina_Faso,0.029485123591349735,0.0029178184371023656
Togo,0.05931414589437494,0.002917818437102362
Saint_Vincent_and_the_Grenadines,0.01196598072338496,0.011443124949256292
Bhutan,0.035044813707443695,0.009469966502488759
Maldives,0.04966169463997555,0.002917818437102364
Cabo_Verde,0.053660296845106634,0.002917818437102364
Suriname,0.04005587855462806,0.011923887844799549
Belize,0.014826027817998334,0.01205736058219726
Gambia,0.03517224844393463,0.008427591237791764
Central_African_Republic,0.01969067245821228,0.007870489906905824
Nigeria,0.0206698132721563,0.009897900257849708
Botswana,0.08090219128128828,0.0029178184371023643
Burundi,0.02531669769395187,0.0029178184371023647
Mauritania,0.021563092643782384,0.007881294606257548
Egypt,0.0029178184371023643,0.023028244273227923
Iraq,0.0029178184371023647,0.0029178184371023643
Kazakhstan,0.0029178184371023647,0.008036700324241208
Tajikistan,0.002917818437102365,0.00847012724148663
Turkmenistan,0.002917818437102365,0.0029178184371023647
United_Arab_Emirates,0.0029178184371023647,0.008041704150311309
Uzbekistan,0.0029178184371023647,0.008435455508017813
Viet_Nam,0.002917818437102365,0.0029178184371023656
Bahamas,0.002917818437102365,0.0029178184371023643
Comoros,0.0029178184371023647,0.008037279208136197
Cuba,0.0029178184371023647,0.01054591800458014
Dominica,0.002917818437102365,0.008584093422920611
Dominican_Republic,0.002917818437102365,0.0029178184371023656
Panama,0.002917818437102365,0.0029178184371023643
Sao_Tome_and_Principe,0.0029178184371023643,0.0029178184371023634
Unspecified,0.002917818437102365,0.002917818437102363
Honduras,0.0029178184371023647,0.0029178184371023643
Papua_New_Guinea,0.002917818437102365,0.013563560210338691
Paraguay,0.0029178184371023647,0.002917818437102365
Sudan_(former),0.002917818437102365,0.0029178184371023647
Uruguay,0.0029178184371023647,0.013439077773128104
Mali,0.002917818437102365,0.0029178184371023647
Nauru,0.002917818437102365,0.009021874003815695
Sierra_Leone,0.0029178184371023647,0.0108376466726402
Netherlands_Antilles,0.002917818437102365,0.007972765814893902
American_Samoa,0.002917818437102365,0.008551327744663237
Antigua_and_Barbuda,0.002917818437102365,0.008133190642206386
Bangladesh,0.002917818437102365,0.0029178184371023643
Bermuda,0.0029178184371023656,0.007812826845533933
Democratic_People's_Republic_of_Korea,0.0029178184371023647,0.002917818437102365
Democratic_Republic_of_the_Congo,0.0029178184371023647,0.0029178184371023617
Djibouti,0.002917818437102365,0.008353287432749875
Eritrea,0.0029178184371023656,0.009165701313376172
Guinea,0.0029178184371023647,0.007982238753034427
Lao_People's_Democratic_Republic,0.0029178184371023647,0.0029178184371023617
Marshall_Islands,0.002917818437102365,0.0029178184371023647
Mongolia,0.0029178184371023643,0.002917818437102364
Mozambique,0.0029178184371023656,0.008128678395706355
Myanmar,0.002917818437102365,0.0029178184371023656
Namibia,0.0029178184371023656,0.0029178184371023625
Saint_Lucia,0.002917818437102365,0.008236612942480777
Samoa,0.0029178184371023647,0.0029178184371023634
Solomon_Islands,0.0029178184371023656,0.002917818437102364
Swaziland,0.0029178184371023647,0.002917818437102362
Timor-Leste,0.002917818437102365,0.0029178184371023643
Yemen,0.002917818437102365,0.0029178184371023656
Algeria,0.0029178184371023656,0.0029178184371023643
Grenada,0.002917818437102365,0.002917818437102366
Kuwait,0.0029178184371023656,0.0029178184371023625
Falkland_Islands_(Malvinas),0.002917818437102365,0.0029178184371023612
Guam,0.002917818437102365,0.0029178184371023656
Somalia,0.0029178184371023647,0.0029178184371023617
Saint_Kitts_and_Nevis,0.002917818437102365,0.0029178184371023612
Angola,0.0029178184371023656,0.0029178184371023625
Gabon,0.002917818437102365,0.002917818437102364
Haiti,0.002917818437102365,0.002917818437102366
Liberia,0.002917818437102365,0.0029178184371023643
Occupied_Palestinian_Territory,0.002917818437102365,0.007784806063183788
British_Virgin_Islands,0.002917818437102365,0.002917818437102363
Seychelles,0.0029178184371023647,0.002917818437102363
Cook_Islands,0.002917818437102365,0.0029178184371023625
Lesotho,0.002917818437102365,0.0029178184371023647
Guinea-Bissau,0.002917818437102365,0.0029178184371023647
Niue,0.002917818437102365,0.002917818437102365
Chad,0.0029178184371023647,0.0029178184371023634
Equatorial_Guinea,0.002917818437102365,0.0029178184371023634
Faroe_Islands,0.0029178184371023647,0.0029178184371023643
Montserrat,0.002917818437102365,0.0029178184371023647
Saint_Pierre_and_Miquelon,0.002917818437102365,0.002917818437102364
Turks_and_Caicos_Islands,0.002917818437102365,0.0029178184371023643
Brunei_Darussalam,0.002917818437102365,0.0029178184371023643
Greenland,0.002917818437102365,0.0075703723156632634
Libya,0.0029178184371023647,0.0029178184371023647
Micronesia_(Federated_States_of),0.0029178184371023656,0.0029178184371023634
Palau,0.002917818437102365,0.002917818437102365
Kiribati,0.002917818437102365,0.0029178184371023604
"Saint_Helena,_Ascension_and_Tristan_da_Cunha",0.002917818437102365,0.002917818437102362
Tuvalu,0.0029178184371023647,0.002917818437102366
Cayman_Islands,0.0029178184371023647,0.002917818437102363
Mayotte,0.002917818437102365,0.002917818437102365
Andorra,0.0029178184371023656,0.002917818437102364
