network,method,k,p,time_step,mean_newly_active,median_newly_active,q1_newly_active,q3_newly_active
Facebook Penn94,highest_degree,10,0.02,1,536.598,536.0,522.0,552.0
Facebook Penn94,highest_degree,10,0.02,2,1152.938,1154.0,1107.75,1199.0
Facebook Penn94,highest_degree,10,0.02,3,2627.413,2629.0,2536.5,2712.25
Facebook Penn94,highest_degree,10,0.02,4,4218.694,4224.5,4133.0,4309.0
Facebook Penn94,highest_degree,10,0.02,5,4511.111,4512.5,4461.0,4564.0
Facebook Penn94,highest_degree,10,0.02,6,3248.355,3249.0,3169.0,3323.25
Facebook Penn94,highest_degree,10,0.02,7,1775.681,1774.0,1703.0,1839.0
Facebook Penn94,highest_degree,10,0.02,8,833.475,829.0,790.0,874.0
Facebook Penn94,highest_degree,10,0.02,9,362.861,360.0,338.0,387.0
Facebook Penn94,highest_degree,10,0.02,10,152.803,152.0,139.0,166.0
Facebook Penn94,highest_degree,10,0.02,11,63.52,63.0,55.0,71.0
Facebook Penn94,highest_degree,10,0.02,12,26.299,26.0,21.0,31.0
Facebook Penn94,highest_degree,10,0.02,13,10.974,10.0,8.0,14.0
Facebook Penn94,highest_degree,10,0.02,14,4.717,4.0,3.0,6.0
Facebook Penn94,highest_degree,10,0.02,15,2.796,2.0,1.0,4.0
Facebook Penn94,highest_degree,10,0.02,16,2.253,2.0,1.0,3.0
Facebook Penn94,highest_degree,10,0.02,17,2.144,2.0,1.0,3.0
Facebook Penn94,highest_degree,10,0.02,18,2.123,2.0,1.0,3.0
Facebook Penn94,highest_degree,10,0.02,19,2.118,2.0,1.0,3.0
Facebook Penn94,highest_degree,10,0.02,20,2.114,1.5,1.0,3.0
Facebook Penn94,highest_degree,10,0.02,21,2.111,1.0,1.0,3.0
Facebook Penn94,highest_degree,10,0.02,22,2.115,1.0,1.0,3.0
Facebook Penn94,highest_degree,10,0.02,23,2.112,1.0,1.0,3.0
Facebook Penn94,distance_greedy,2,0.02,0,2.0,2.0,2.0,2.0
Facebook Penn94,distance_greedy,2,0.02,1,138.629,138.0,131.0,146.0
Facebook Penn94,distance_greedy,2,0.02,2,319.563,315.0,288.0,348.0
Facebook Penn94,distance_greedy,2,0.02,3,1067.627,1065.0,967.0,1161.0
Facebook Penn94,distance_greedy,2,0.02,4,2427.845,2433.5,2262.75,2590.5
Facebook Penn94,distance_greedy,2,0.02,5,4113.964,4122.5,3985.75,4260.25
Facebook Penn94,distance_greedy,2,0.02,6,4567.51,4572.5,4505.0,4629.0
Facebook Penn94,distance_greedy,2,0.02,7,3406.236,3404.0,3263.0,3544.0
Facebook Penn94,distance_greedy,2,0.02,8,1905.885,1897.5,1788.0,2011.0
Facebook Penn94,distance_greedy,2,0.02,9,905.902,897.0,834.0,971.0
Facebook Penn94,distance_greedy,2,0.02,10,397.141,394.0,360.0,432.0
Facebook Penn94,distance_greedy,2,0.02,11,167.851,166.0,147.0,186.0
Facebook Penn94,distance_greedy,2,0.02,12,69.64,69.0,59.0,79.0
Facebook Penn94,distance_greedy,2,0.02,13,28.552,28.0,23.0,34.0
Facebook Penn94,distance_greedy,2,0.02,14,11.859,11.0,8.0,15.0
Facebook Penn94,distance_greedy,2,0.02,15,5.233,5.0,3.0,7.0
Facebook Penn94,distance_greedy,2,0.02,16,2.867,2.0,1.0,4.0
Facebook Penn94,distance_greedy,2,0.02,17,2.255,2.0,1.0,3.0
Facebook Penn94,distance_greedy,2,0.02,18,2.057,2.0,1.0,2.0
Facebook Penn94,distance_greedy,2,0.02,19,2.028,1.0,1.0,2.0
Facebook Penn94,distance_greedy,2,0.02,20,2.025,1.0,1.0,2.0
Facebook Penn94,distance_greedy,2,0.02,21,2.017,1.0,1.0,2.0
Facebook Penn94,distance_greedy,2,0.02,22,2.016,1.0,1.0,2.0
Facebook Penn94,distance_greedy,2,0.02,23,2.013,1.0,1.0,2.0
Facebook Penn94,distance_greedy,4,0.02,0,4.0,4.0,4.0,4.0
Facebook Penn94,distance_greedy,4,0.02,1,197.4,197.0,189.0,207.0
Facebook Penn94,distance_greedy,4,0.02,2,477.266,474.5,439.0,513.0
Facebook Penn94,distance_greedy,4,0.02,3,1472.642,1474.0,1376.0,1573.25
Facebook Penn94,distance_greedy,4,0.02,4,3054.073,3062.0,2912.25,3193.25
Facebook Penn94,distance_greedy,4,0.02,5,4487.594,4495.0,4404.75,4575.0
Facebook Penn94,distance_greedy,4,0.02,6,4298.108,4304.5,4214.0,4377.25
Facebook Penn94,distance_greedy,4,0.02,7,2854.966,2853.0,2731.0,2966.25
Facebook Penn94,distance_greedy,4,0.02,8,1496.147,1490.0,1401.0,1577.25
Facebook Penn94,distance_greedy,4,0.02,9,687.913,681.5,635.0,734.0
Facebook Penn94,distance_greedy,4,0.02,10,296.789,293.5,268.0,323.0
Facebook Penn94,distance_greedy,4,0.02,11,124.756,122.0,110.0,138.0
Facebook Penn94,distance_greedy,4,0.02,12,51.933,51.0,44.0,59.0
Facebook Penn94,distance_greedy,4,0.02,13,21.773,21.0,16.0,26.0
Facebook Penn94,distance_greedy,4,0.02,14,9.063,8.0,6.0,12.0
Facebook Penn94,distance_greedy,4,0.02,15,4.161,4.0,2.0,6.0
Facebook Penn94,distance_greedy,4,0.02,16,2.511,2.0,1.0,3.0
Facebook Penn94,distance_greedy,4,0.02,17,2.119,2.0,1.0,3.0
Facebook Penn94,distance_greedy,4,0.02,18,2.02,1.0,1.0,3.0
Facebook Penn94,distance_greedy,4,0.02,19,2.002,1.0,1.0,2.0
Facebook Penn94,distance_greedy,4,0.02,20,1.991,1.0,1.0,2.0
Facebook Penn94,distance_greedy,4,0.02,21,1.99,1.0,1.0,2.0
Facebook Penn94,distance_greedy,4,0.02,22,1.987,1.0,1.0,2.0
Facebook Penn94,distance_greedy,10,0.02,0,10.0,10.0,10.0,10.0
Facebook Penn94,distance_greedy,10,0.02,1,274.333,274.0,263.75,286.0
Facebook Penn94,distance_greedy,10,0.02,2,664.998,662.0,626.0,702.0
Facebook Penn94,distance_greedy,10,0.02,3,1911.997,1918.0,1818.75,2005.0
Facebook Penn94,distance_greedy,10,0.02,4,3613.998,3620.5,3498.0,3737.0
Facebook Penn94,distance_greedy,10,0.02,5,4645.125,4646.5,4586.0,4703.0
Facebook Penn94,distance_greedy,10,0.02,6,3922.922,3921.0,3840.0,4003.25
Facebook Penn94,distance_greedy,10,0.02,7,2386.312,2381.0,2296.75,2473.25
Facebook Penn94,distance_greedy,10,0.02,8,1188.708,1183.0,1124.0,1250.0
Facebook Penn94,distance_greedy,10,0.02,9,532.391,528.0,495.0,566.25
Facebook Penn94,distance_greedy,10,0.02,10,227.061,224.0,206.0,247.0
Facebook Penn94,distance_greedy,10,0.02,11,95.142,94.0,83.0,105.0
Facebook Penn94,distance_greedy,10,0.02,12,39.292,39.0,32.0,45.0
Facebook Penn94,distance_greedy,10,0.02,13,16.447,16.0,12.0,20.0
Facebook Penn94,distance_greedy,10,0.02,14,6.801,6.0,4.0,9.0
Facebook Penn94,distance_greedy,10,0.02,15,3.301,3.0,2.0,4.0
Facebook Penn94,distance_greedy,10,0.02,16,2.354,2.0,1.0,3.0
Facebook Penn94,distance_greedy,10,0.02,17,2.132,2.0,1.0,3.0
Facebook Penn94,distance_greedy,10,0.02,18,2.072,2.0,1.0,3.0
Facebook Penn94,distance_greedy,10,0.02,19,2.059,1.5,1.0,3.0
Facebook Penn94,distance_greedy,10,0.02,20,2.038,1.0,1.0,3.0
Facebook Penn94,distance_greedy,10,0.02,21,2.035,1.0,1.0,3.0
Facebook Penn94,distance_greedy,10,0.02,22,2.033,1.0,1.0,3.0
Facebook Penn94,distance_greedy,10,0.02,23,2.033,1.0,1.0,3.0
