network,method,k,p,time_step,mean_active,median_active,q1_active,q3_active
Facebook Penn94,highest_degree,4,0.02,23,19538.061,19540.0,19444.0,19630.25
Facebook Penn94,highest_degree,4,0.02,24,19538.062,19540.0,19444.0,19630.25
Facebook Penn94,highest_degree,4,0.02,25,19538.063,19540.0,19444.0,19630.25
Facebook Penn94,highest_degree,10,0.02,0,10.0,10.0,10.0,10.0
Facebook Penn94,highest_degree,10,0.02,1,546.598,546.0,532.0,562.0
Facebook Penn94,highest_degree,10,0.02,2,1699.536,1699.0,1642.75,1758.0
Facebook Penn94,highest_degree,10,0.02,3,4326.949,4327.0,4189.0,4464.0
Facebook Penn94,highest_degree,10,0.02,4,8545.643,8554.5,8332.0,8756.5
Facebook Penn94,highest_degree,10,0.02,5,13056.754,13069.0,12845.75,13273.25
Facebook Penn94,highest_degree,10,0.02,6,16305.109,16317.5,16142.0,16465.25
Facebook Penn94,highest_degree,10,0.02,7,18080.79,18088.0,17958.75,18200.0
Facebook Penn94,highest_degree,10,0.02,8,18914.265,18915.0,18813.0,19013.25
Facebook Penn94,highest_degree,10,0.02,9,19277.126,19277.0,19184.75,19369.0
Facebook Penn94,highest_degree,10,0.02,10,19429.929,19430.5,19342.75,19518.0
Facebook Penn94,highest_degree,10,0.02,11,19493.449,19495.0,19408.0,19582.25
Facebook Penn94,highest_degree,10,0.02,12,19519.748,19523.5,19430.75,19608.0
Facebook Penn94,highest_degree,10,0.02,13,19530.722,19535.0,19442.0,19618.0
Facebook Penn94,highest_degree,10,0.02,14,19535.128,19539.5,19446.0,19622.25
Facebook Penn94,highest_degree,10,0.02,15,19536.946,19541.0,19447.75,19625.0
Facebook Penn94,highest_degree,10,0.02,16,19537.646,19541.5,19450.5,19625.25
Facebook Penn94,highest_degree,10,0.02,17,19537.92,19542.0,19451.0,19626.25
Facebook Penn94,highest_degree,10,0.02,18,19538.035,19542.0,19452.0,19626.25
Facebook Penn94,highest_degree,10,0.02,19,19538.083,19542.0,19452.0,19626.25
Facebook Penn94,highest_degree,10,0.02,20,19538.106,19542.0,19452.0,19626.25
Facebook Penn94,highest_degree,10,0.02,21,19538.116,19542.0,19452.0,19626.25
Facebook Penn94,highest_degree,10,0.02,22,19538.129,19542.0,19452.0,19626.25
Facebook Penn94,highest_degree,10,0.02,23,19538.135,19542.0,19452.0,19626.25
Facebook Penn94,distance_greedy,2,0.02,0,2.0,2.0,2.0,2.0
Facebook Penn94,distance_greedy,2,0.02,1,140.629,140.0,133.0,148.0
Facebook Penn94,distance_greedy,2,0.02,2,460.192,456.5,424.0,494.0
Facebook Penn94,distance_greedy,2,0.02,3,1527.819,1522.5,1400.0,1647.0
Facebook Penn94,distance_greedy,2,0.02,4,3955.664,3948.5,3664.75,4233.0
Facebook Penn94,distance_greedy,2,0.02,5,8069.628,8086.0,7662.75,8482.75
Facebook Penn94,distance_greedy,2,0.02,6,12637.138,12648.5,12253.75,13035.0
Facebook Penn94,distance_greedy,2,0.02,7,16043.374,16053.0,15786.5,16320.0
Facebook Penn94,distance_greedy,2,0.02,8,17949.259,17958.0,17789.5,18116.5
Facebook Penn94,distance_greedy,2,0.02,9,18855.161,18851.5,18734.0,18975.25
Facebook Penn94,distance_greedy,2,0.02,10,19252.302,19249.0,19146.5,19355.0
Facebook Penn94,distance_greedy,2,0.02,11,19420.153,19421.5,19322.75,19515.25
Facebook Penn94,distance_greedy,2,0.02,12,19489.793,19489.5,19392.75,19590.0
Facebook Penn94,distance_greedy,2,0.02,13,19518.345,19519.0,19418.0,19617.0
Facebook Penn94,distance_greedy,2,0.02,14,19530.204,19532.5,19429.0,19626.25
Facebook Penn94,distance_greedy,2,0.02,15,19535.19,19539.0,19435.75,19632.0
Facebook Penn94,distance_greedy,2,0.02,16,19537.257,19540.0,19439.0,19633.25
Facebook Penn94,distance_greedy,2,0.02,17,19538.111,19540.5,19440.75,19635.25
Facebook Penn94,distance_greedy,2,0.02,18,19538.449,19541.0,19440.75,19636.0
Facebook Penn94,distance_greedy,2,0.02,19,19538.608,19541.0,19440.75,19636.0
Facebook Penn94,distance_greedy,2,0.02,20,19538.674,19541.0,19440.75,19636.0
Facebook Penn94,distance_greedy,2,0.02,21,19538.699,19541.0,19440.75,19636.0
Facebook Penn94,distance_greedy,2,0.02,22,19538.705,19541.0,19440.75,19636.0
Facebook Penn94,distance_greedy,2,0.02,23,19538.707,19541.0,19440.75,19636.0
Facebook Penn94,distance_greedy,4,0.02,0,4.0,4.0,4.0,4.0
Facebook Penn94,distance_greedy,4,0.02,1,201.4,201.0,193.0,211.0
Facebook Penn94,distance_greedy,4,0.02,2,678.666,676.0,633.0,722.25
Facebook Penn94,distance_greedy,4,0.02,3,2151.308,2154.5,2009.0,2286.25
Facebook Penn94,distance_greedy,4,0.02,4,5205.381,5222.0,4926.0,5474.5
Facebook Penn94,distance_greedy,4,0.02,5,9692.975,9729.5,9352.0,10031.5
Facebook Penn94,distance_greedy,4,0.02,6,13991.083,14031.0,13698.5,14277.25
Facebook Penn94,distance_greedy,4,0.02,7,16846.049,16865.0,16654.75,17051.5
Facebook Penn94,distance_greedy,4,0.02,8,18342.196,18342.0,18218.0,18482.0
Facebook Penn94,distance_greedy,4,0.02,9,19030.109,19030.5,18930.0,19137.0
Facebook Penn94,distance_greedy,4,0.02,10,19326.898,19332.0,19232.0,19425.0
Facebook Penn94,distance_greedy,4,0.02,11,19451.654,19455.0,19360.75,19545.0
Facebook Penn94,distance_greedy,4,0.02,12,19503.587,19507.5,19412.0,19597.25
Facebook Penn94,distance_greedy,4,0.02,13,19525.36,19530.0,19433.0,19619.25
Facebook Penn94,distance_greedy,4,0.02,14,19534.388,19538.5,19441.0,19629.25
Facebook Penn94,distance_greedy,4,0.02,15,19538.203,19543.0,19445.75,19633.0
Facebook Penn94,distance_greedy,4,0.02,16,19539.732,19545.0,19447.75,19634.0
Facebook Penn94,distance_greedy,4,0.02,17,19540.321,19545.5,19449.0,19634.0
Facebook Penn94,distance_greedy,4,0.02,18,19540.536,19546.0,19449.0,19634.0
Facebook Penn94,distance_greedy,4,0.02,19,19540.625,19546.0,19449.75,19634.0
Facebook Penn94,distance_greedy,4,0.02,20,19540.668,19546.0,19449.75,19634.0
Facebook Penn94,distance_greedy,4,0.02,21,19540.685,19546.0,19449.75,19634.0
Facebook Penn94,distance_greedy,4,0.02,22,19540.688,19546.0,19449.75,19634.0
Facebook Penn94,distance_greedy,10,0.02,0,10.0,10.0,10.0,10.0
Facebook Penn94,distance_greedy,10,0.02,1,284.333,284.0,273.75,296.0
Facebook Penn94,distance_greedy,10,0.02,2,949.331,946.0,903.0,994.0
Facebook Penn94,distance_greedy,10,0.02,3,2861.328,2861.0,2731.5,2999.5
Facebook Penn94,distance_greedy,10,0.02,4,6475.326,6487.0,6231.5,6721.5
Facebook Penn94,distance_greedy,10,0.02,5,11120.451,11131.5,10847.75,11415.5
Facebook Penn94,distance_greedy,10,0.02,6,15043.373,15049.5,14820.75,15274.25
Facebook Penn94,distance_greedy,10,0.02,7,17429.685,17431.5,17274.75,17588.25
Facebook Penn94,distance_greedy,10,0.02,8,18618.393,18617.5,18507.0,18735.25
Facebook Penn94,distance_greedy,10,0.02,9,19150.784,19152.5,19054.0,19255.0
Facebook Penn94,distance_greedy,10,0.02,10,19377.845,19380.0,19286.0,19473.25
Facebook Penn94,distance_greedy,10,0.02,11,19472.987,19479.0,19380.0,19566.0
Facebook Penn94,distance_greedy,10,0.02,12,19512.279,19521.0,19419.5,19605.25
Facebook Penn94,distance_greedy,10,0.02,13,19528.726,19538.0,19433.75,19621.0
Facebook Penn94,distance_greedy,10,0.02,14,19535.489,19543.0,19440.0,19628.0
Facebook Penn94,distance_greedy,10,0.02,15,19538.199,19545.0,19443.0,19630.0
Facebook Penn94,distance_greedy,10,0.02,16,19539.323,19547.0,19444.0,19631.0
Facebook Penn94,distance_greedy,10,0.02,17,19539.772,19547.5,19444.75,19631.25
Facebook Penn94,distance_greedy,10,0.02,18,19539.976,19547.5,19444.75,19632.0
Facebook Penn94,distance_greedy,10,0.02,19,19540.089,19547.5,19444.75,19632.0
Facebook Penn94,distance_greedy,10,0.02,20,19540.149,19547.5,19444.75,19632.0
Facebook Penn94,distance_greedy,10,0.02,21,19540.179,19547.5,19444.75,19632.0
Facebook Penn94,distance_greedy,10,0.02,22,19540.189,19547.5,19444.75,19632.0
Facebook Penn94,distance_greedy,10,0.02,23,19540.192,19547.5,19444.75,19632.0
